Time_Elapsed,Throughput
30,1880
60,1937
90,1953
120,1945
150,1950
180,1961
210,1936
240,1958
270,1944
300,1952
330,1938
360,1966
390,1940
420,1962
450,1946
480,1939
510,1953
540,1939
570,1962
600,1947
630,1962
660,1963
690,1942
720,1940
750,1938
780,1961
810,1948
840,1967
870,1950
900,1958
930,1943
960,1956
990,1949
1020,1949
1050,1952
1080,1946
1110,1939
1140,1967
1170,1962
1200,1974
1230,1980
1260,1983
1290,1993
1320,2002
1350,1992
1380,1982
1410,2003
1440,1987
1470,1987
1500,2005
1530,1984
1560,1986
1590,1990
1620,2014
1650,2013
1680,2016
1710,2014
1740,2015
1770,2014
1800,2015
1830,2011
1860,2007
1890,2015
1920,2010
1950,2021
1980,2016
2010,2017
2040,2020
2070,2019
