FreqItemset(items=[u'84978'], freq=602)
FreqItemset(items=[u'22960'], freq=965)
FreqItemset(items=[u'84755'], freq=540)
FreqItemset(items=[u'20914'], freq=798)
FreqItemset(items=[u'21733'], freq=692)
FreqItemset(items=[u'85123A'], freq=2020)
FreqItemset(items=[u'20719'], freq=539)
FreqItemset(items=[u'21931'], freq=791)
FreqItemset(items=[u'21977'], freq=675)
FreqItemset(items=[u'22423'], freq=1884)
FreqItemset(items=[u'23208'], freq=601)
FreqItemset(items=[u'22384'], freq=951)
FreqItemset(items=[u'22384', u'20725'], freq=530)
FreqItemset(items=[u'85099F'], freq=667)
FreqItemset(items=[u'85099B'], freq=1643)
FreqItemset(items=[u'22467'], freq=599)
FreqItemset(items=[u'22727'], freq=907)
FreqItemset(items=[u'22907'], freq=538)
FreqItemset(items=[u'23202'], freq=778)
FreqItemset(items=[u'22355'], freq=597)
FreqItemset(items=[u'82482'], freq=894)
FreqItemset(items=[u'20972'], freq=537)
FreqItemset(items=[u'23301'], freq=767)
FreqItemset(items=[u'22722'], freq=665)
FreqItemset(items=[u'47566'], freq=1399)
FreqItemset(items=[u'48187'], freq=533)
FreqItemset(items=[u'23201'], freq=766)
FreqItemset(items=[u'84991'], freq=664)
FreqItemset(items=[u'84879'], freq=1385)
FreqItemset(items=[u'85152'], freq=593)
FreqItemset(items=[u'22386'], freq=884)
FreqItemset(items=[u'22386', u'85099B'], freq=554)
FreqItemset(items=[u'85099C'], freq=663)
FreqItemset(items=[u'20725'], freq=1330)
FreqItemset(items=[u'23344'], freq=593)
FreqItemset(items=[u'22138'], freq=881)
FreqItemset(items=[u'21731'], freq=533)
FreqItemset(items=[u'23245'], freq=755)
FreqItemset(items=[u'22554'], freq=592)
FreqItemset(items=[u'22961'], freq=880)
FreqItemset(items=[u'21975'], freq=532)
FreqItemset(items=[u'20724'], freq=755)
FreqItemset(items=[u'22111'], freq=663)
FreqItemset(items=[u'22720'], freq=1218)
FreqItemset(items=[u'22556'], freq=531)
FreqItemset(items=[u'23199'], freq=739)
FreqItemset(items=[u'23207'], freq=660)
FreqItemset(items=[u'POST'], freq=1194)
FreqItemset(items=[u'22698'], freq=591)
FreqItemset(items=[u'23206'], freq=878)
FreqItemset(items=[u'23284'], freq=655)
FreqItemset(items=[u'23203'], freq=1097)
FreqItemset(items=[u'22551'], freq=587)
FreqItemset(items=[u'22666'], freq=875)
FreqItemset(items=[u'22969'], freq=526)
FreqItemset(items=[u'21080'], freq=734)
FreqItemset(items=[u'23321'], freq=586)
FreqItemset(items=[u'22993'], freq=875)
FreqItemset(items=[u'84378'], freq=525)
FreqItemset(items=[u'22697'], freq=733)
FreqItemset(items=[u'22697', u'22699'], freq=557)
FreqItemset(items=[u'22558'], freq=650)
FreqItemset(items=[u'22197'], freq=1085)
FreqItemset(items=[u'79321'], freq=525)
FreqItemset(items=[u'22077'], freq=732)
FreqItemset(items=[u'23300'], freq=642)
FreqItemset(items=[u'20727'], freq=1073)
FreqItemset(items=[u'20685'], freq=583)
FreqItemset(items=[u'21034'], freq=862)
FreqItemset(items=[u'21232'], freq=639)
FreqItemset(items=[u'22383'], freq=1063)
FreqItemset(items=[u'22383', u'20725'], freq=526)
FreqItemset(items=[u'22865'], freq=583)
FreqItemset(items=[u'22139'], freq=839)
FreqItemset(items=[u'23355'], freq=726)
FreqItemset(items=[u'82486'], freq=580)
FreqItemset(items=[u'22178'], freq=839)
FreqItemset(items=[u'21790'], freq=725)
FreqItemset(items=[u'22728'], freq=629)
FreqItemset(items=[u'21212'], freq=1041)
FreqItemset(items=[u'22629'], freq=712)
FreqItemset(items=[u'22624'], freq=629)
FreqItemset(items=[u'23298'], freq=1021)
FreqItemset(items=[u'22090'], freq=575)
FreqItemset(items=[u'20726'], freq=839)
FreqItemset(items=[u'22630'], freq=625)
FreqItemset(items=[u'23209'], freq=1017)
FreqItemset(items=[u'21915'], freq=569)
FreqItemset(items=[u'22699'], freq=836)
FreqItemset(items=[u'22910'], freq=709)
FreqItemset(items=[u'21755'], freq=557)
FreqItemset(items=[u'82494L'], freq=826)
FreqItemset(items=[u'22112'], freq=707)
FreqItemset(items=[u'82484'], freq=615)
FreqItemset(items=[u'22382'], freq=1001)
FreqItemset(items=[u'21181'], freq=704)
FreqItemset(items=[u'21929'], freq=614)
FreqItemset(items=[u'22086'], freq=990)
FreqItemset(items=[u'22966'], freq=556)
FreqItemset(items=[u'22470'], freq=817)
FreqItemset(items=[u'21166'], freq=613)
FreqItemset(items=[u'20728'], freq=989)
FreqItemset(items=[u'21928'], freq=552)
FreqItemset(items=[u'23084'], freq=816)
FreqItemset(items=[u'84946'], freq=704)
FreqItemset(items=[u'82483'], freq=549)
FreqItemset(items=[u'22726'], freq=809)
FreqItemset(items=[u'22726', u'22727'], freq=536)
FreqItemset(items=[u'21754'], freq=700)
FreqItemset(items=[u'22326'], freq=612)
FreqItemset(items=[u'22457'], freq=984)
FreqItemset(items=[u'21175'], freq=699)
FreqItemset(items=[u'22662'], freq=605)
FreqItemset(items=[u'22469'], freq=972)
FreqItemset(items=[u'21485'], freq=541)
FreqItemset(items=[u'22411'], freq=801)
